Foods,Key Micronutrients/Bioactive Compounds,Direct/Indirect Cognitive Benefits,Supporting Mechanisms
Barley,"Beta-glucans (soluble fiber), B vitamins (niacin, thiamine, B6), Choline (from betaine), Antioxidants","Improved blood sugar control, Gut health, Reduced inflammation, Enhanced learning and memory","Lowers cholesterol, Modulates immune system, Converts betaine to choline for sleep, muscle movement, learning, memory, Maintains cell membrane structure, Aids nerve impulse transmission, Antioxidant"
Beet Pasta,"Nitrates, Folate, Betalains","Improved cerebral blood flow, Neuroprotection","Vasodilation via nitric oxide, Antioxidant effects"
Beets,"Folate, Manganese, Copper, Nitrates, Antioxidants","Improve cognitive function, Reduce reaction time, Enhance physical and mental performance, Enhance neuroplasticity, Lower blood pressure","DNA synthesis, Nutrient metabolism, Neurotransmitter synthesis, Nitric oxide production (dilates blood vessels), Antioxidant, Reduces homocysteine levels"
Bell Peppers,"Vitamin C, Phytochemicals (carotenoids, anthocyanins, flavonoids, phenolic acids), Fiber","Promote brain health, Prevent age-related memory loss, Reduce inflammation, Bolster immune system","Antioxidant, Anti-inflammatory, Prevents cell damage, Blocks enzyme activity releasing amyloid proteins, Supports gut microbiome"
Bilberries (Dried),"Anthocyanins, Vitamin C, Manganese","Improved memory and learning, Slowed cognitive decline","Antioxidant, Neurovascular enhancement, Anti-inflammatory"
Black Beans,"Folate, Magnesium, Anthocyanins (antioxidants), Fiber","Improved cognitive function, Support brain health, Memory, Overall mental well-being, Reduced risk of cognitive decline","Neurotransmitter function, Nerve transmission, Antioxidant, Anti-inflammatory, Gut health"
Black currants (Dried),"Anthocyanins, Vitamin C, Gamma-linolenic acid","Enhances memory and alertness, Protects against cognitive aging","Neuroinflammation reduction, Oxidative stress mitigation"
Blackberries,"Vitamin C, Fiber, Vitamin K, Manganese, Antioxidants","Improve brain health, Prevent memory loss caused by aging, Reduce brain inflammation","Antioxidant, Fights free radicals, Alters neuron communication"
Blue Corn,Anthocyanins (antioxidants),"Potentially improve memory, Fight cancer and diabetes","Antioxidant, Reduces inflammation"
Blueberries,"Anthocyanins (flavonoids), Antioxidants","Improve processing speed, Executive function, Memory, Enhance neuronal activation, Reduce brain inflammation, Promote cognitive function","Antioxidant, Anti-inflammatory, Combats oxidative stress, Supports neuronal growth, vascular health, synaptic flexibility"
Brazil Nuts,"Selenium, Ellagic acid (polyphenol), Antioxidants","Improved verbal fluency, Thinking ability, Enhance mood, Reduce anxiety, Protect brain from oxidative stress, Reduce risk of neurodegenerative diseases (AD, Parkinson's)","Antioxidant, Anti-inflammatory, Supports brain's antioxidant defense system"
Brie Cheese,"Vitamin B12, Choline, CLA, Calcium","Supports cognitive function, Myelin formation","Neurotransmitter support, Lipid-based neural insulation"
Broccoli,"Sulforaphane, Vitamin K, Antioxidants","Protect aging brain, Combat oxidative stress and inflammation, Remove brain amyloid plaques, Preserve neurons and synapses, Improve cognitive scores (verbal fluency), Slow cognitive decline","Activates Nrf2 pathway (antioxidant response), Activates enzymes for amyloid breakdown, Reduces BACE1 expression, Regulates genes for nerve growth/repair, Promotes ""memory protein"" Arc"
Brown Rice,"B vitamins, Complex carbohydrates, Manganese, Selenium","Sustained energy supply to brain, Neurotransmitter production, Cognitive function, Protect brain cells from damage","Energy production, Supports neurotransmitter production, Antioxidant"
Brown Rice Pasta,"Manganese, Magnesium, B vitamins, Fiber","Supports glucose regulation, Reduces inflammation, Enhances brain energy metabolism","Blood sugar control, Mitochondrial function, Anti-inflammatory"
Brussel Sprouts,"Sulforaphane, Vitamin K","Protective effects on aging brain, Combat oxidative stress and inflammation, Remove brain amyloid plaques, Preserve neurons and synapses, Slow cognitive decline","Activates Nrf2 pathway (antioxidant response), Activates enzymes for amyloid breakdown, Reduces BACE1 expression, Regulates genes for nerve growth/repair, Promotes ""memory protein"" Arc"
Buckwheat (Soba) Noodles,"Rutin (flavonoid), Magnesium, Fiber, B vitamins","Improves circulation, Reduces oxidative stress, Supports cognition in vascular impairment","Antioxidant, Vasoprotective, Anti-inflammatory"
Cabbage,"Vitamin K, Anthocyanin, Flavonoids, Phenols, B vitamins (B1, B2, B6)","Improve brain health, Boost mental function and concentration, Reduce plaque on the brain, Prevent deterioration of short- and long-term memory, Reduce risk of heart disease and stroke, Energy booster","Antioxidant, Reduces inflammation, Supports energy metabolism, Reduces plaque formation on brain"
Cacao,"Flavanols (polyphenols), Caffeine, Antioxidants","Boost brain oxygenation, Improve cognition, Faster recovery from vascular challenges, Better performance on complex tests, Reduce age-related cognitive dysfunction, Enhance memory, Improve blood flow, Elevate mood","Improves brain vascular function, Improves insulin sensitivity, Antioxidant, Anti-inflammatory"
Camellia Oil,"Monounsaturated fats, Vitamin E, Polyphenols","Supports vascular health, Reduces oxidative stress","Anti-inflammatory, Antioxidant, Enhances endothelial function"
Camembert Cheese,"Vitamin B12, CLA, Calcium, Probiotics (fermented)","Enhances memory, Supports gut-brain axis, Myelin integrity","Neurotransmitter synthesis, Gut microbiome modulation"
Canola/Rapeseed Oil,"Alpha-linolenic acid (ALA), Vitamin E, Phytosterols","Supports brain lipid composition, Anti-inflammatory effects","Omega-3 conversion, Membrane fluidity, Antioxidant"
Capers,Quercetin (flavonoid),"Activate proteins important for normal human brain activity, Potential for epilepsy and abnormal heart rhythms treatment, Anti-inflammatory","Modulates potassium ion channels (KCNQ gene family), Antioxidant, Anti-inflammatory"
Capsaicin,"Capsaicinoids, Vitamin C, Carotenoids","Enhances neuroplasticity, May delay neurodegeneration","TRPV1 activation, Antioxidant, Anti-inflammatory"
Carrots,"Beta-carotene (Vitamin A), Luteolin (flavonoid), Ferulic acid, Fiber, Antioxidants","Maintain sharp memory and cognitive function, Reduce age-related memory deficits, Protect brain cells from damage, Restore working memory, Reduce neuroinflammation and oxidative stress, Prevent amyloid beta plaques formation","Antioxidant, Anti-inflammatory, Neuroprotective, Supports gut health, Helps regulate blood sugar"
Cashews,"Magnesium, Protein, Essential minerals","Neurotransmission, Support communication between neurons, Overall mental health","Supports neurotransmission, Provides essential minerals for cognitive function"
Cauliflower,"Choline, Vitamin K, Folate (Vitamin B), Antioxidants, Sulforaphane","Healthy functioning of brain and nervous system, Brain development, Memory, Communication between nerve cells, Improved cognitive function, Reduced risk of degenerative diseases (dementia, AD)","Component in building cell membranes, Transmitting nerve signals, Antioxidant, Anti-inflammatory, Protects brain cells from oxidative/inflammatory damage"
Celery,Luteolin (flavonoid),"Combat cognitive decline, Prevent memory problems and depression, Keep mind sharp","Antioxidant, Anti-inflammatory, Combats oxidative stress"
Cheddar Cheese,"Vitamin B12, Calcium, Phospholipids, CLA","Supports myelin sheath integrity, Cognitive function in aging","Neurotransmission, Neuronal structure support"
Cherries,"Anthocyanins, Vitamin C, Melatonin, Polyphenols","Enhances memory, Improves sleep quality, Reduces neuroinflammation","Circadian regulation, Antioxidant, Anti-inflammatory"
Chia Seeds,"Omega-3 fatty acids (ALA), Antioxidants, Magnesium, Fiber","Enhance memory, focus, overall cognitive function, Positive effects on cognitive abilities, Improve memory abilities, Decrease heart disease risk","Supports brain health, Antioxidant, Nerve function, Gut health"
Chia Seed Oil,"ALA (omega-3), small amounts of antioxidants",,
Chicken Breast,"Tryptophan, Vitamin B12, Choline","Promote brain development in children, Aid cognitive performance in older adults, Raise serotonin levels (mood)","Neurotransmitter synthesis, Nervous system function"
Chickpea Pasta,"Plant protein, Folate, Iron, Fiber, Magnesium","Supports neurotransmitter synthesis, Stabilizes glucose, Enhances cognitive performance","Blood sugar control, Gut health, Homocysteine regulation"
Chickpeas,"Folate, Manganese, Dietary Fiber, Protein, Iron, Thiamine (B1), Vitamin B6","Support cognitive functions, Build and repair tissues, Energy production, Healthy red blood cells","Cell and tissue growth, Bone development, Converts macronutrients to energy, Building blocks for body, Oxygen transport, Neurotransmitter synthesis"
Chili Peppers,"Capsaicin, Vitamin C, Beta-carotene, Flavonoids","May support mood, Neuroprotection, Increases alertness","TRPV1-mediated neurostimulation, Antioxidant activity"
Cinnamon,"Cinnamaldehyde, Eugenol, Cinnamic acid","Improve learning and memory, Neuroprotective effects (against AD), Anti-cell death, Anti-inflammatory","Inhibits amyloid-beta plaques buildup, Antioxidant, Reduces tau aggregation, Increases cell viability"
Cod Liver OIl,"Vitamin A (retinol), Vitamin D, Omega-3 (EPA/DHA)",,
Coffee,Caffeine,"Reduced risk of neurodegenerative diseases (AD, Parkinson's, dementia), Regulate cognitive function, Improve depressive symptoms, Less decline in verbal and visuospatial memory","Inhibits adenosine A2A receptors, Suppresses neuroinflammation, Modulates synaptic plasticity, Psychostimulant properties"
Collard Greens,"Vitamin K, Lutein, Folate, Beta-carotene","Slow cognitive decline, Reduce risk of Alzheimer's disease","Antioxidant, Anti-inflammatory"
Cornmeal (whole grain),"Complex carbohydrates, B vitamins, Antioxidants (lutein, zeaxanthin)","Sustained energy for brain, Better eye and cognitive health","Energy production, Antioxidant"
Cottage Cheese,"Protein, Vitamin B12, Calcium, Selenium","Supports neurotransmitter production, Myelin maintenance","Methylation support, Neuronal insulation, Antioxidant activity"
Cranberries,"Flavonoids (proanthocyanidins, anthocyanins, flavonols), Antioxidants","Improve visual episodic memory, Enhance neural functioning, Reduce brain inflammation, Lower LDL cholesterol","Antioxidant, Fights effects of aging, Reduces oxidative stress"
Cranberries (Dried),"Proanthocyanidins, Vitamin C, Polyphenols","Reduces neuroinflammation, Improves memory and learning","Antioxidant, Anti-inflammatory, Microbiome support"
Cucumber,"Fisetin (flavonol), B vitamins, Water, Fiber, Antioxidants (Vitamin C, beta-carotene)","Protect brain, Improve memory, Protect nerve cells from age-related decline, Ease feelings of anxiety, Buffer damaging effects of stress","Anti-inflammatory, Antioxidant, Hydration, Supports digestive health"
Curcumin,"Curcuminoids, Polyphenols","Improves memory, Reduces cognitive decline risk","NF-?B inhibition, Amyloid clearance, Antioxidant, Anti-inflammatory"
Dates,"B vitamins, vitamin K, and magnesium",,
Edam Cheese,"Vitamin B12, Calcium, CLA, Phosphorus","Supports neural signaling, Myelin sheath formation","Neurotransmitter metabolism, Neuronal membrane structure"
Edamame,"Protein, Fiber, Folate, Iron, Choline, Isoflavones (plant compounds)","Enhance brain functions, Improve cognitive function (memory), Support brain health","Complete protein, Gut health, Neurotransmitter synthesis, Antioxidant"
Eggplant,"Anthocyanin (nasunin), Flavonoids, Nitrates","Improve cognitive function, Mental health, Prevent inflammation of nervous tissue, Facilitate blood flow to the brain, Prevent age-related brain diseases (Dementia)","Antioxidant, Anti-inflammatory, Breaks down fats in brain, Widens blood vessels"
Eggs,"Choline, Lutein, Zeaxanthin, Selenium, Vitamin D, B vitamins (B6, B12, folate), Protein","Slower decline in cognitive abilities, Better memory recall, Adaptability, Problem-solving skills, Improve brain performance, Fight inflammation, Protect cells from oxidative damage","Neurotransmitter synthesis (acetylcholine), Antioxidant, Anti-inflammatory, Supports brain function, Supports nervous system health"
Farro,"Fiber (resistant starch), Antioxidants (ferulic acid), Magnesium","Improves digestion, Prevents diabetes, colon cancer, obesity, Protects brain cells from damage, Reduces risk of cognitive decline and degenerative brain diseases (AD)","Prebiotic (feeds good bacteria in gut), Antioxidant, Reduces oxidative stress, Supports muscle function and energy"
Feta Cheese,"Calcium, Vitamin B12, CLA, Protein","Supports brain structure, Cognitive performance","Neuronal signaling, Mitochondrial function"
Figs,"Polyphenols, Potassium, Fiber, Magnesium","Protects neurons, Supports vascular health","Antioxidant, Vasodilation, Blood pressure regulation"
Flaxseed Oil,"Alpha-linolenic acid (ALA) (omega-3), Lignans","Support brain health, Cognitive function, Neuroprotection, Maintain memory, focus, Overall brain resilience, Improve mood, Protect against age-related cognitive decline and neurodegenerative diseases","Neuronal membrane integrity, Anti-inflammatory, Reduces oxidative stress, Regulates neurotransmitters"
Flaxseeds,"ALA (omega-3), Lignans, Fiber, Magnesium","Reduces inflammation, Supports cognition via lipid metabolism","Omega-3 conversion, Anti-inflammatory, Antioxidant"
Flounder,"Vitamin B12, Selenium, Protein, Iodine","Supports thyroid-brain axis, Neurodevelopment","Myelination, Neurotransmitter regulation, Antioxidant defense"
Garlic,"Allicin, Sulfur compounds, Selenium, Manganese","Protects against neurodegeneration, Enhances cerebral perfusion","Anti-inflammatory, Vasodilatory, Antioxidant"
Golgi Berries,"
","
","
"
Gooseberries,"Antioxidants (bioflavonoids, polyphenols, anthocyanins, flavanols, aromatic acids), Potassium, Iron, Copper","Protect brain from cellular damage and oxidative stress, Improve memory and learning, Protect brain from degenerative diseases (AD)","Antioxidant, Neutralizes free radicals, Anti-aging effects, Promotes healthy red blood cell production, Supports blood vessels"
Gooseberries (Dried),"
","
","
"
Gouda Cheese,"
","
","
"
Grapefruit,Folic acid (folate/B9),"Prevent further decrease in cognition due to aging, Helps produce healthy red blood cells","DNA synthesis, Rapid cell division and growth, Catalyzes metabolic reactions"
Grapes,"Anthocyanins, Resveratrol, Quercetin, Vitamin C, Beta carotene, Lutein, Ellagic acid, Zeaxanthin","Improve memory, attention, mood, Protect against AD, Improve learning, Increase brain growth and blood flow","Antioxidant, Reduces inflammation, Removes amyloid-beta peptide, Modulates insulin sensitivity, Antimicrobial"
Green Peas,"
","
","
"
Green Tea,"Catechins (EGCG), Antioxidants, Polyphenols","Fewer cerebral white matter lesions, Combat oxidative stress, Reduce inflammation, Inhibits amyloid ? aggregation, Reduce risk of age-related cognitive decline","Antioxidant, Anti-inflammatory, Antihypertensive effects"
"Grits (whole grain, cooked)","B vitamins, Iron, Magnesium, Folate, Thiamine (B1), Lutein/Zeaxanthin","Improved gut health, Enhanced nutrient absorption, Supports healthy growth and development, Improve mental and physical performance, Supports various critical functions of the body, Eye health","Supports microbial diversity, Improves glucose metabolism, Supports energy production, DNA/RNA formation, Protein metabolism, Oxygen transport, Reduces tiredness and fatigue, Filters harmful blue light"
Gruyère Cheese,"
","
","
"
Hazelnuts,"Healthy fats, Protein, Fiber, Antioxidants","Lower risk of cognitive decline, Improved cognitive function","Supports cognitive function, Antioxidant"
Heirloom Corn,"B vitamins, Antioxidants (anthocyanins in blue/purple varieties)","Sustained energy for brain, Good for brain and heart health, Support healthy eyesight","Energy production, Supports brain function, Antioxidant"
Hemp Seed Oil,"ALA (omega-3), Vitamin E, trace minerals (Mg, Zn)",,
Herring,"
","
","
"
Hominy Corn,"Complex carbohydrates, B vitamins (folate, niacin, B6), Antioxidants","Sustained energy for brain, Good for brain and heart health, Support healthy eyesight","Energy production, Supports brain function, Antioxidant"
Honey,"Vitamin C, B vitamins, minerals, polyphenols","
","
"
Kale,"Vitamin A, Vitamin K, Vitamin C, Antioxidants, Prebiotic fiber","Ward off Alzheimer's disease, Protect neurons (e.g., from ALS), Reduce risk of brain cancer, Prevent stroke, Improve cognition, Reduce inflammation","Antioxidant, Protects cell membranes, Blood-clotting, Supports gut microbes for Vitamin K production"
Kefir,"
","
","
"
Kidney Beans,"Folate, Fiber, Antioxidants","Support brain health, Cognitive function","DNA repair, Red blood cell production, Gut health, Antioxidant"
Kiwis,"Vitamin C, fiber, polyphenols, minerals","
","
"
Kimchi,"Lactic acid, phenolics, GABA, probiotics",,
Kombucha (Unsweetened),"Probiotics, B vitamins, polyphenols, Acetic/Glucuronic Acid, L-theanine, Zinc, Magnesium","
","Probiotics, B vitamins, polyphenols, Acetic/Glucuronic Acid, L-theanine, Zinc, Magnesium"
Krill OIl,"Omega-3 (EPA/DHA), Astaxanthin",,
Lemon,"Vitamin C, flavonoids, carotenoids, dietary fiber, essential oils","Prevent further decrease in cognition due to aging, Helps produce healthy red blood cells","DNA synthesis, Rapid cell division and growth, Catalyzes metabolic reactions"
Lentil Pasta,"Antioxidants, Polyphenols, Folate, Iron, Magnesium, Fiber","Protect brain cells, Preserve cognitive function, Lower dementia rates, Improve memory and focus, Reduce inflammation","Antioxidant, Anti-inflammatory, DNA repair, Red blood cell production, Nerve health, Energy production, Gut health"
Lentils,"Antioxidants, Polyphenols, Folate, Iron, Magnesium, Fiber","Protect brain cells, Preserve cognitive function, Lower dementia rates, Improve memory and focus, Reduce inflammation","Antioxidant, Anti-inflammatory, DNA repair, Red blood cell production, Nerve health, Energy production, Gut health"
Limburger Cheese,"
","
","
"
Liver,"B vitamins (B2, B3, B5, B6, B12, folate), Iron, Zinc, Copper, Phosphorus, Selenium, Choline, Protein, Coenzyme Q10","Brain health and development, Cognitive function, Memory, Overall mental performance, Boosts energy levels, Supports immune function","Energy production, Neurotransmitter synthesis, Oxygen transport, Antioxidant, Supports nervous system, Supports myelin formation"
Low-fat Milk,"
","
","
"
Lupins,"Lupin protein hydrolysate (LPH), Peptides","Palliate anxious effects, Greater exploration capacity, Less fear, Anxiolytic and antiamnesic activity","Anti-inflammatory, Antioxidant, Modulates anxiety-related behaviors"
Macadamia Nuts,"Copper, Magnesium, Manganese, Palmitoleic acid (monounsaturated fatty acid), Oleic acid (omega 9), Vitamin E, Antioxidants, Polyphenols","Maintain healthy neurotransmitters, Insulate and protect nerve cells (myelin sheath), Improve memory function, Protect brain from aging effects, Sharper cognition, Lower risk of depression, Support heart health","Neurotransmitter synthesis, Myelin sheath component, Antioxidant, Anti-inflammatory, Lowers blood pressure, Improves blood vessel health"
Mackerel,"Omega-3 fatty acids (DHA, EPA), Protein, Vitamin D, Vitamin B12, Selenium, Phosphor, Magnesium, Iron","Develop cognitive functions (memory), Protect brain against senile dementia or Alzheimer's disease, Improve mental condition (stress, anxiety, depression), Maintain brain health, Improve blood circulation in brain","Neuronal membrane integrity, Neurotransmitter synthesis, Myelin formation, Antioxidant, Anti-inflammatory, Red blood cell formation"
Millet,"B vitamins (niacin, folate), Iron, Zinc, Fiber, Antioxidants","Nourish cognitive function, Sharper memory, Boosted focus, Cognitive development, Memory improvement","Energy production, Supports brain function, Antioxidant, Aids digestion, Proper nutrient absorption"
Miso,"
","
","
"
Mozzarella Cheese (if fermented),"
","
","
"
Mulberries,"
","
","
"
Mulberries (Dried),"
","
","
"
Mung Beans,"B vitamins (folate/B9), Protein, Fiber, Antioxidants","Maintain brain's health, Helps make DNA, Antioxidant effects, Anti-inflammatory activity","DNA synthesis, Antioxidant, Anti-inflammatory, Gut health"
Mushrooms,"Ergothioneine (amino acid), Antioxidants","Better performance on various cognitive tests, Improve executive function and memory, Improve sleep quality","Antioxidant, Anti-inflammatory, Protects cells"
Mustard Greens,"Vitamin K, Lutein, Nitrate, Folate, Vitamin E, Kaempferol","Slow cognitive function decline with aging, Reduced inflammation","Supports DNA repair, Antioxidant, Anti-inflammatory"
Natto,"
","
","
"
Navy Beans,"Fiber, Vitamin B, Iron, Zinc, Magnesium, Calcium","Trigger metabolism, Regulate blood sugar and blood pressure, Gut healthy, Repair muscles, Fight fatigue","Resistant starch (prebiotic), Protein synthesis, Maintains healthy body tissues, Energy levels"
Oat-based Bars,"Beta-glucans (soluble fiber), B vitamins, Antioxidants","Improve blood sugar control, Mitigate post-meal spikes, Promote gut health, Lower cholesterol","Forms gel-like solution in gut, Delays stomach emptying, Increases good bacteria, Reduces cholesterol excretion"
Oats/Oat Groats/Steel Cut/Rolled,"
","
","
"
Olive Oil (Extra Virgin -Cold-pressed),"Phenolic compounds (e.g., oleuropein, biophenols), monounsaturated fatty acids (MUFA)","Direct: Improved cognitive performance, reduced cognitive decline, enhanced memory and executive function. Indirect: Reduced Alzheimer’s biomarkers, improved cardiovascular/metabolic health, reduced neuroinflammation.","Antioxidant and anti-inflammatory effects, improved blood–brain barrier function, reduced amyloid-? and tau pathology, enhanced brain connectivity, modulation of oxidative stress and neuroinflammation."
Onions,"Polyphenol flavonoids (quercetin), Vitamin C, Folate, Potassium, Antioxidants","Support everyday brain function, Protect brain from aging impacts, Lower likelihood of memory loss and thinking difficulties, Protect against neurodegeneration, AD, memory loss","Antioxidant, Anti-inflammatory"
Orange,"Vitamin C, Flavonoids, Carotenoids, Phytochemicals, Antioxidants","Prevent cognitive decline, Improve cognitive functions (memory, attention, executive functions), Protect brain from oxidative stress and metal toxicity, Improve alertness, attention, memory","Modulates neuronal systems, Facilitates neuronal communication, Antioxidant, Modulates cerebral blood flow"
Paprika,"
","
","
"
Parmesan Cheese,"Protein, calcium, B vitamins, bioactive peptides (antihypertensive, antioxidant, antimicrobial), vitamin K2 (notably in aged/fermented types), minerals","Bone health, muscle support, blood pressure regulation, cardiovascular health, immune support","High in calcium, protein, and bioactive peptides; fermentation enhances bioactive content"
Passion Fruit,Vitamin A/B9/C; Potassium; Magnesium; Irron; Flavonoids; Piceatannol,,
Peanuts,"Protein, Omega-3 fatty acids, Antioxidants","Lower risk of cognitive decline, Improved cognitive function","Supports cognitive function, Antioxidant"
Pecans,"Unsaturated fats, Thiamin (B1), Tocopherols (Vitamin E), Magnesium, Zinc, Flavonoids, Ellagic acid, Phytosterols, Polyphenols, Antioxidants","Neuroprotective benefits, Better cognitive function (memory, executive function), Counteract oxidative stress and inflammation, Reduce risk of AD and Parkinson's","Antioxidant, Anti-inflammatory, Lowers LDL cholesterol, Enhances endothelial function"
Peony Oil,"
","
","
"
Pinto Beans,"
","
","
"
Pistachios,"Omega-3 fatty acids (ALA), Antioxidants (Vitamin E, flavonoids, anthocyanins, flavones, carotenoids), Protein, Fiber, Potassium, Iron, Zinc","Enhance cognitive function, Memory enhancement, Cognitive protection, Protect against cognitive decline, Reduce cellular damage and inflammation in the brain","Antioxidant, Neutralizes free radicals, Supports memory recall, Anti-inflammatory, Supports gut health"
Plums,"
","
","
"
Polenta (cooked),"Complex carbohydrates, B vitamins, Antioxidants (lutein, zeaxanthin, lycopene)","Sustained energy for brain, Better eye and cognitive health","Energy production, Antioxidant"
Pomegranate Seed Oil,"
","
","
"
Pork,"Zinc, Selenium, Choline, Iron, B1, 6, 12","Supports memory, learning, and overall brain health","Antioxidant, neurotransmitter regulation, synaptic plasticity"
,,Essential for cognitive development.,"Oxygen transport, myelin synthesis, neurotransmitter production"
,,May protect against cognitive decline. Maintains nerve function and cognitive performance,"Antioxidant defense, reduces oxidative stress"
,,Supports neurotransmitter synthesis.,Precursor for acetylcholine (key neurotransmitter)
Provolone Cheese,"
","
","
"
Prunes,"
","
","
"
Pumpkin,"
","
","
"
Pumpkin Seeds,"Magnesium, Zinc, Iron, Copper, Antioxidants (flavonoids, phenolic acids, Vitamin E, carotenoids), Fiber","Brain health, Cognitive function, Improve focus and concentration, Protect brain cells from damage, Alleviate depression and anxiety, Prevent memory-related conditions (dementia)","Neurotransmitter function, Neuron growth, Oxygenation of brain, Antioxidant, Gut health"
Purple Corn,Anthocyanins (antioxidants),Positively impact cognitive functions,"Antioxidant, Anti-inflammatory"
Quinoa,"Iron, Potassium, Vitamin B2 (riboflavin), B vitamins (B1, B6, B9), Vitamin E, Manganese, Fiber, Antioxidants (polysaccharides)","Supports brain health, Attention, Concentration, Energy production, Improves learning and memory (in aging mice), Improved mood, Reduced anxiety","Oxygen transport, Nerve conduction, Energy production, Antioxidant, Gut health"
Quinoa Pasta,"
","
","
"
Raisins,"Flavonoids, Polyphenols, Vitamins B6, B12, Iron, Potassium, Boron, Antioxidants","Promote blood flow, Enhance memory and cognitive performance, Boost cognitive function, Support heart health, Provide sustained energy, Protect brain","Antioxidant, Improves blood circulation, Neurotransmitter synthesis, Nerve function, Red blood cell formation, Bone/joint health, Reduces inflammation"
Raspberries,"Antioxidants (Vitamins C, E, lutein, alpha-/beta-carotene, selenium, choline, anthocyanins, ellagitannins, ellagic acid), Fiber","Promote brain and neurological health, Protect cognitive abilities, Improve memory, Reduce brain inflammation, Prevent depression","Antioxidant, Neuroprotection, Regulates free radical-mediated A beta-amyloids, Gut health, Lowers chances of depression"
Roasted Edamame,"
","
","
"
Romaine,"Vitamin K, Lutein, Nitrate, Folate, Vitamin E, Kaempferol","Slow cognitive function decline with aging, Reduced inflammation","Supports DNA repair, Antioxidant, Anti-inflammatory"
Romano Cheese,"
","
","
"
Rosemary,"1,8 cineole, Antioxidants","Enhance quality of memory, Improve speed and accuracy in tasks, Improve memory of images and numbers, Lower anxiety (indirect cognitive boost)","Antioxidant, Modulates cognitive function, Improves blood flow (plasma 1,8-cineole correlation)"
Safflower Oil,"
","
","
"
Sage,"
","
","
"
