Food,Direct Cognitive Benefits,Inirect Cognitive Benefits,Recommended_Intake,Pre_Pro_Post-Biotic
Barley (whole grain),"Rich in β-glucan fiber which promotes gut bacteria that produce SCFAs, supporting brain health. Whole-grain barley intake is associated with better cognitive function in high-fiber diets.",Significantly lowers LDL cholesterol and improves insulin sensitivity. Barley’s soluble fiber helps regulate blood sugar and body weight. Also contains selenium and B vitamins for immune and metabolic support.,≥3 servings whole grains per day (include barley),Prebiotic (fiber+β-glucan)
Beet Pasta(infused),"Pasta made with beet adds fiber and polyphenols from beets, providing some prebiotic benefit. This can modestly improve gut microbiota vs. refined pasta, potentially supporting brain health (though evidence specific to beet pasta is lacking).","Provides more vitamins (folate, betaine) than regular pasta. The added beet may help lower blood pressure slightly and adds antioxidants. Overall healthier than plain refined pasta. Beneficial for those seeking more fiber in comfort foods.",Use in place of regular pasta occasionally,Prebiotic (fiber)
Beets,High in nitrates which improve cerebral blood flow and executive function in older adults. Beetroot also offers fiber and polyphenols that feed gut microbes; beet consumption has been linked to enhanced brain oxygenation and possibly better cognition in trials.,Lowers blood pressure and improves endothelial function via nitric oxide. Betalain antioxidants reduce inflammation and oxidative stress. Supports liver detoxification. Beet nitrates may enhance exercise performance and vascular health.,½ cup (1 small beet) ~3x/week or juice 1–2x/week,Prebiotic (fiber+nitrate)
Bell Peppers (any color),"Bell peppers contain fiber and vitamin C. The fiber supports gut health. High vitamin C and carotenoids in peppers reduce neuroinflammation and oxidative stress, which is associated with better cognitive aging.","Rich in antioxidants (vitamin C, carotenoids like luteolin) that support immune function and skin health. May help lower inflammation and blood pressure. Low-calorie, improves overall diet quality. Red peppers especially high in anti-inflammatory carotenoids.",≥1 cup of peppers 3–4 times per week,Prebiotic (fiber)
Bilberries (Dried),Dried bilberries (wild European blueberries) are extremely rich in anthocyanins which improve memory and cognitive performance. Polyphenols reach the colon where gut microbes metabolize them to neuroprotective compounds.,Anthocyanins in bilberries improve endothelial function and lower blood pressure. Dried bilberries retain antioxidant capacity and have anti-inflammatory effects. They may improve night vision and capillary health (traditional use).,"2 tbsp dried or ½ cup fresh equivalents, ≥2x/week",Prebiotic (polyphenols)
Black Beans,High in fiber (soluble and resistant starch) which fosters SCFA-producing gut bacteria and is associated with better cognitive function. Black bean polyphenols (dark skin) have neuroprotective antioxidant effects.,Improve cardiovascular health by lowering cholesterol and blood pressure (rich in potassium and magnesium). Help stabilize blood sugar and support weight management. Black beans’ anthocyanins also confer anti-oxidant and anti-inflammatory benefits.,≥3–4 servings of beans per week,Prebiotic (fiber)
Black currants(Dried),Packed with anthocyanins and vitamin C – potent antioxidants that cross the blood-brain barrier. Blackcurrant extracts have shown improved cognitive performance (attention/mood) in human trials by reducing monoamine oxidase and oxidative stress. Gut bacteria metabolize blackcurrant polyphenols into anti-inflammatory metabolites.,High vitamin C boosts immune function and arterial health. Blackcurrants reduce oxidative stress and have been associated with improved microcirculation. Anthocyanin-rich diets correlate with lower cardiovascular disease risk and improved endothelial function.,"2 tbsp dried or ½ cup fresh, ≥2x/week",Prebiotic (polyphenols)
Blackberries,Rich in anthocyanin flavonoids recognized for protecting against neurodegenerative diseases. Diets high in berries (including blackberries) are associated with slower cognitive decline. Fiber and polyphenols in blackberries modulate gut microbiota and reduce brain inflammation.,Lower systemic inflammation and oxidative stress markers. High fiber supports digestive health and cardiovascular health (helps cholesterol). Blackberries’ antioxidants contribute to reduced cancer risk and improved insulin sensitivity.,≥2 servings of berries per week,Prebiotic (polyphenols+fiber)
Blue Corn,Contains anthocyanins (giving the blue color) and fiber. These compounds act as prebiotics and antioxidants; blue corn may improve gut microbiota composition and reduce inflammation. Whole blue corn products can support cognitive health via vascular benefits of anthocyanins (improved cerebral blood flow).,More antioxidants than yellow corn. Whole blue corn has a lower glycemic index and can improve metabolic markers compared to refined grains. Provides magnesium and fiber for heart health. Potentially anti-inflammatory due to anthocyanins.,"Use as whole cornmeal or tortillas in place of refined corn, weekly",Prebiotic (fiber+polyphenols)
Blueberries,"Extensive human evidence: ≥1 serving of blueberries/week is associated with slower cognitive decline. RCTs: 0.5–1 cup daily improved memory and executive function in older adults. Mechanistically, blueberry polyphenols are metabolized by gut microbes into bioactives that reduce neuroinflammation and improve vascular health.",Regular blueberry intake lowers blood pressure and improves endothelial function. Meta-analyses show anthocyanin-rich berries reduce LDL and CRP (inflammation). Also linked to better metabolic profiles (improved insulin sensitivity).,≥2 servings of berries per week (or ~½ cup/day),Prebiotic (polyphenols+fiber)
Brazil Nuts,"Rich in selenium, an antioxidant mineral important for brain function. Selenium and fiber help reduce oxidative stress and may benefit the gut-brain axis by supporting antioxidant enzymes (which protect neurons). In older adults, maintaining adequate selenium is linked to better cognitive performance.","Just 1–2 Brazil nuts can fulfill daily selenium needs, improving antioxidant status (e.g., glutathione peroxidase activity) and potentially reducing inflammation. Supports thyroid function (indirectly affecting metabolism). Beneficial fats improve lipid profiles.",1–2 nuts per day (very selenium-rich),Prebiotic (fiber)
Brie Cheese,"Aged soft cheese with white mold rind. Contains some probiotic microbes (Penicillium and bacteria) during fermentation, though many may not survive digestion. No direct evidence for cognitive benefit; high saturated fat content means brie is not emphasized for brain health. Any benefit likely from small amounts of dairy peptides and vitamin K₂ produced.","Provides calcium and protein for bone and muscle health. Brie’s fermentation generates bioactive peptides that can have mild anti-inflammatory or blood pressure-lowering effects. However, it is high in fat and should be eaten sparingly to avoid raising LDL cholesterol.",≤1 serving per week (moderation),Postbiotic (fermented dairy)
Broccoli,"Cruciferous vegetable high in fiber and sulforaphane. Fibers support gut microbes; higher vegetable intake (especially crucifers) correlates with slower cognitive decline in observational studies. Sulforaphane may activate antioxidant defenses in the brain, potentially protecting against neurodegeneration.","Strong anti-cancer properties (sulforaphane induces detox enzymes). Lowers inflammation and supports heart health (broccoli consumption linked to better arterial health). Provides folate, vitamin K, C for immune support. Helps improve lipid profiles and insulin sensitivity.",≥3–5 servings per week,Prebiotic (fiber)
Brown Rice,"Whole-grain brown rice is rich in fiber and B vitamins that support the nervous system. Fiber promotes a healthy gut microbiome, which is linked to better cognitive health. Low glycemic index can help maintain stable energy supply to the brain.",Replacing refined grains with brown rice improves glycemic control and lowers risk of type 2 diabetes. Brown rice intake is associated with lower risk of cardiovascular disease (due to fiber’s cholesterol-lowering effect). Provides magnesium and selenium.,≥3 servings whole grains per day (mix types),Prebiotic (fiber)
Brown Rice Pasta,"Made from whole-grain brown rice, it retains fiber that nourishes gut bacteria. A better choice than refined pasta for microbiome health, contributing to sustained cognitive energy and less post-meal glucose spikes (which can impair cognition acutely).","Gluten-free whole-grain option; provides more fiber and minerals than regular pasta, aiding in cholesterol reduction and improved digestive health. Helps maintain steady blood sugar, beneficial for metabolic health and weight management.",In place of refined pasta; 3–4 servings/week,Prebiotic (fiber)
Brussels Sprouts,Fiber-rich cruciferous vegetable with glucosinolates. Prebiotic fiber supports beneficial gut bacteria; higher intake of cruciferous veggies is linked to slower rate of cognitive decline in aging. Also a good source of vitamin C and K for neuronal health.,Powerful anti-inflammatory and anti-cancer effects (glucosinolate metabolites). Improve arterial health – one study linked crucifer intake with less arterial plaque. Fiber helps lower LDL. Supports detoxification enzymes and immune function.,≥3 servings per week,Prebiotic (fiber)
Buckwheat (Soba) Noodles,Made from buckwheat (which is actually a seed rich in polyphenols like rutin and fiber). Buckwheat’s prebiotic fiber and antioxidants support gut health and may improve mental clarity by stabilizing blood sugar. Traditional diets with buckwheat have been noted for cardiovascular and cognitive health.,"Gluten-free and low glycemic, helping regulate blood sugar and reduce risk of diabetes. Rutin in buckwheat strengthens blood vessels and has anti-hypertensive effects. Improves lipid profile (shown to lower LDL). Anti-inflammatory and beneficial for circulation.",Use in place of refined noodles; 1–2 servings/week,Prebiotic (fiber+polyphenols)
Cabbage,"Fiber (including prebiotic pectins) supports gut microbial diversity. Diets rich in brassica vegetables like cabbage are associated with a lower risk of dementia and cognitive decline, possibly via antioxidant and anti-inflammatory effects. Sauerkraut (fermented cabbage) has probiotics improving gut-brain axis, though plain cabbage is not probiotic unless fermented.","Raw or cooked, cabbage provides vitamin C, K, and polyphenols. Regular intake is linked to reduced cancer risk (especially colon cancer). Helps lower LDL and improve gut health (especially when fermented). Red cabbage anthocyanins further reduce inflammation and support vascular health.",≥3 servings per week,Prebiotic (fiber)
Cacao (Raw Cocoa),"Unprocessed cacao is extremely rich in flavanols. Cocoa flavanols increase beneficial gut bacteria like Lactobacillus and Bifidobacterium, and are linked to improved memory and executive function in humans (cocoa improved cognitive performance in older adults in multiple trials). Flavanols enhance cerebral blood flow and neuroplasticity.",Lowers blood pressure and improves endothelial function (dark chocolate/cocoa intake causes vasodilation). Powerful antioxidant activity reduces oxidative stress. Associated with improved insulin sensitivity and lower diabetes risk. Mood-elevating properties via increased serotonin and endorphins.,1–2 tbsp raw cacao or 20g dark chocolate daily,Prebiotic (polyphenols)
Camellia Oil (Tea Seed Oil),Similar fatty acid profile to olive oil (high oleic). Contains tea polyphenols (if cold-pressed) that can modulate gut microbiota favorably (green tea compounds are known to stimulate beneficial microbes). These antioxidants may contribute to neuroprotection and improved cognitive function (green tea intake linked to better cognitive health).,"High in monounsaturated fats – supports heart health by improving cholesterol ratios and reducing blood pressure. Rich in vitamin E and polyphenols, giving anti-inflammatory effects. Traditionally associated with beneficial effects on skin and metabolic health in East Asian diets.",Use as primary cooking oil (similar to olive oil),Prebiotic (polyphenols)
Camembert Cheese,"Soft fermented cheese with mold culture. Contains some bioactive peptides and possibly surface bacteria; however, like other cheeses, high saturated fat reduces any direct cognitive benefit. No strong evidence for Camembert aiding cognition. Any minor benefit would be due to fermentation byproducts (which might have anti-inflammatory properties).","Provides calcium and protein. Fermentation yields a small amount of vitamin K₂ for bone health. Some strains in Camembert (Penicillium candidum) may produce anti-microbial compounds beneficial for gut health. Nevertheless, should be limited due to salt and saturated fat content (excess linked to CVD).",≤1 serving per week (moderation),Postbiotic (fermented dairy)
Canola (Rapeseed) Oil,"High in monounsaturated fat (and some omega-3 ALA). Switching to canola from saturated fat can improve overall vascular health, indirectly supporting brain perfusion. Not a prebiotic, but a moderate omega-3 source which may help maintain a healthier gut microbiota profile.","Lowers LDL cholesterol when used instead of butter due to its unsaturated fat content. Often fortified with vitamin E and K. Canola’s omega-3 (ALA) may reduce inflammation modestly. A neutral-flavored, heart-healthy cooking oil when used at appropriate temperatures.",Use in moderation as cooking oil (can substitute other veg oils),N/A (neutral oil)
Capers,"Capers are rich in quercetin and other polyphenols which act as prebiotic substrates for gut microbes. These compounds have neuroprotective antioxidant effects. Though consumed in small quantities, capers’ flavonoids may help reduce neuroinflammation and support brain health.","Contain potent antioxidants (quercetin) that improve capillary function and may lower inflammation. Traditionally used for their anti-flatulent and anti-rheumatic properties. High in sodium (due to brining), so use sparingly if watching blood pressure. Overall contribute to Mediterranean diet benefits (heart health).","As garnish/condiment – small amounts regularly (high salt, so rinse)",Prebiotic (fiber+polyphenols)
Capsaicin (Chili Peppers),"Capsaicin (the spicy component) can modulate gut by increasing mucus and possibly beneficially altering gut bacteria composition in small amounts. Animal studies suggest capsaicin may protect the brain by reducing gut-derived endotoxins and inflammation. Spicy food consumption has been linked anecdotally to lower risk of neurodegenerative diseases, but evidence is mixed.","Capsaicin is a potent anti-inflammatory and analgesic. Chili consumption is associated with improved metabolism (slightly increased energy expenditure) and better vascular health (capsaicin can improve blood vessel dilation). It may also help reduce appetite and improve glucose regulation. Overconsumption can irritate GI tract, so moderation is key.",Use as spice to taste (no specific serving; a few times/week),N/A (bioactive compound)
Carrots,Provide soluble fiber (pectin) that feeds gut bacteria and helps produce SCFAs beneficial for brain health. High in beta-carotene and lutein – antioxidants linked to better cognitive performance in aging (these nutrients accumulate in the brain and protect neurons).,Beta-carotene in carrots supports immune function and vision. Regular carrot intake is associated with lower risk of CVD (fiber helps lower cholesterol). Antioxidant properties combat oxidative stress. Lowers risk of certain cancers (like lung) in some studies.,≥4–5 per week (½ cup per day as a veggie serving),Prebiotic (fiber)
Cashews,"Contain fiber and polyphenols (especially in the skin, if present) that support a healthy gut microbiome. Cashews also provide iron and zinc for neuronal health. While not as studied as walnuts, nut consumption in general (including cashews) is linked to better cognitive aging.","Improve blood lipid levels – studies show diets including cashews can raise HDL and lower triglycerides. Good source of magnesium which aids metabolic health and may improve insulin sensitivity. Protein and healthy fats support satiety and weight management. However, slightly lower fiber than almonds/walnuts.",1 oz (about 18 nuts) 3–5 times per week,Prebiotic (fiber)
Cauliflower,"Fiber-rich crucifer aiding gut health. Also a good source of choline – a precursor for acetylcholine, the neurotransmitter vital for memory. Thus, cauliflower provides both prebiotic fibers and brain-essential nutrients. High choline intake is linked to better cognitive performance in older adults.","Low in calories yet high in vitamin C, K, and folate. Supports heart health by providing antioxidants and anti-inflammatory compounds. Cauliflower (especially if consumed as part of a balanced diet) helps improve endothelial function and may assist in weight management due to its fiber and volume.",≥3 servings per week,Prebiotic (fiber)
Celery,"Contains fiber and is a source of nitrates (though less than beet). Prebiotic fibers support gut bacteria; nitrates can improve blood flow to the brain. Celery also contains luteolin, a flavonoid shown to reduce brain inflammation in animal studies, potentially aiding memory.","Celery’s nitrates can modestly lower blood pressure. It has a diuretic effect (phthalides in celery relax blood vessels), supporting cardiovascular health. Low-calorie and hydrating, it aids in weight management. The antioxidants in celery (like apigenin) have anti-inflammatory and immune-modulating effects.",≥3–4 stalks per week (e.g. 1 stalk/day in diet),Prebiotic (fiber+nitrates)
Cheddar Cheese,"Aged cheese fermented with lactic cultures (mostly inactive by consumption). Not a pre/probiotic, and high in saturated fat – limited in brain-healthy diets. No evidence that cheddar improves cognition; any slight benefit would be from dairy protein or calcium. Excess may be detrimental due to saturated fat (linked to worse cognitive outcomes if over-consumed).","Good source of protein, calcium, and B12. Helps maintain bone mass. Some studies suggest fermented dairy like cheese might not raise cardiovascular risk as much as butter, possibly due to calcium binding fats. However, high intake is linked to elevated LDL. Moderation is associated with neutral cardiovascular outcomes.",≤1 serving per week (limit high-fat cheese),Postbiotic (fermented dairy)
Cherries,"Rich in anthocyanins and flavonols. Cherry consumption (especially tart cherries) has been linked to improved cognitive performance in older adults due to reduced oxidative stress and inflammation. Polyphenols feed gut microbes; a trial showed tart cherry juice improved memory and learning in mild dementia, possibly via gut-brain signaling.","Tart cherries reduce inflammation (lower CRP) and oxidative damage. Both sweet and tart cherries have been shown to improve sleep quality (natural melatonin) and reduce gout flares. They can help lower blood pressure and LDL cholesterol in the short term. Overall, cherries support heart health and recovery from exercise (reduced muscle soreness).",½ cup (fresh or frozen) or 1 cup juice 3x/week (prefer whole fruit),Prebiotic (polyphenols+fiber)
Chia Seeds,"Very high in soluble fiber (and mucilage) that acts as a prebiotic, fostering SCFA production. Also a plant source of omega-3 ALA – diets rich in ALA are associated with slower cognitive decline. Chia’s fiber helps stabilize blood sugar, avoiding glucose spikes that can impair cognitive function.","Help reduce LDL and triglycerides due to fiber and omega-3. Aid in glycemic control (useful for diabetes prevention) by forming a gel that slows carbohydrate absorption. Provide calcium, magnesium, and antioxidants (caffeic acid) that reduce inflammation. Improve satiety and support weight management.","1–2 tbsp per day (add to yogurt, oatmeal, etc.)",Prebiotic (fiber+omega-3)
Chicken Breast,"Lean protein source – not prebiotic or probiotic. Provides amino acids (like tryptophan for neurotransmitter serotonin) and B vitamins that support cognitive function. Replacing high-sat-fat meats with lean chicken can improve vascular health, indirectly benefiting the brain. However, excess animal protein can shift gut microbiota; moderation is key.","Excellent source of protein for muscle maintenance, low in saturated fat (good for heart health relative to red meat). Provides niacin and B6 for energy metabolism. When consumed in moderate amounts (2–3x/week in place of red meat), it’s associated with better cardiovascular profiles and weight control. Avoid frying to keep it heart-healthy.",2–3 servings per week (3 oz portion),N/A (protein source)
Chickpea Pasta,Made from ground chickpeas – retains high fiber and protein. Offers similar gut microbiome benefits as whole chickpeas (promotes beneficial bacteria and better blood sugar stability). Consuming legume-based pasta has been associated with improved satiety and possibly better cognitive energy due to more stable glucose.,"Lower glycemic response than wheat pasta, helpful for diabetes risk reduction. High protein aids muscle maintenance. Naturally gluten-free and nutrient-dense (iron, B vitamins). Supports heart health by improving lipid profile, as legumes are proven to lower LDL cholesterol modestly.",In place of regular pasta; 1–2 servings per week,Prebiotic (fiber)
Chickpeas,"High in fiber and resistant starch; act as a prebiotic to increase butyrate-producing gut bacteria. Human trials show improved cognitive tasks when diets include more legumes like chickpeas, likely due to better glucose control and micronutrients (chickpeas provide choline and magnesium).","Regular chickpea intake improves cholesterol (can lower LDL) and aids glycemic control (low GI carb). Rich in folate, iron, and magnesium – supporting heart health and preventing anemia. Also contains polyphenols with antioxidant activity. Helps with satiety and weight management, reducing overall inflammation.",≥3 servings per week (½ cup cooked each),Prebiotic (fiber)
Chili Peppers,"Fresh chilies provide vitamin C and capsaicin. Some population data suggests very high chili intake might be paradoxically linked to memory decline (possibly due to confounding), but moderate use can stimulate endorphins and doesn’t harm and may improve gut motility. No clear cognitive benefit established, but no strong detriment either in moderation.",Rich in vitamin C and A (especially red chilies). Capsaicin has analgesic and metabolism-boosting effects – can increase thermogenesis and modestly aid weight loss. Helps clear sinuses and may improve blood vessel health via nitric oxide release. Excess can cause GI irritation; moderate intake is generally heart-healthy as part of spice-rich diets (like in some cultures with low cardiovascular disease).,Use as spice to taste (moderate regular intake okay),N/A (bioactive compound)
Cinnamon,"Contains polyphenolic compounds (e.g. cinnamaldehyde) that may act as prebiotics by promoting growth of beneficial bacteria. Some studies (including a review of 40 studies) suggest cinnamon supplementation can improve memory and attention, likely by reducing neuroinflammation and improving insulin sensitivity in the brain.","Notable anti-inflammatory and antioxidant effects. Cinnamon has been shown to lower fasting blood glucose and improve insulin sensitivity in diabetics. It also can lower blood triglycerides and total cholesterol modestly. Additionally, it has anti-microbial properties in the gut and may help alleviate indigestion. (Ceylon cinnamon is preferred to avoid excess coumarin).",½–1 tsp most days (as spice in diet),Prebiotic (polyphenols)
Coffee (black),"Coffee is rich in polyphenols (chlorogenic acids) that are metabolized by gut bacteria, increasing beneficial species. Moderate coffee intake has been associated with a lower risk of cognitive decline and Alzheimer’s in several studies, likely via antioxidant and anti-inflammatory effects. Caffeine also acutely enhances alertness and concentration.","Regular coffee consumption is linked to lower risk of Parkinson’s disease, type 2 diabetes, and stroke. Coffee drinkers often have improved liver function and lower inflammation markers. Coffee polyphenols positively alter gut microbiota (e.g., increase in beneficial Bifidobacteria). Note: benefits seen with 2–4 cups/day; excessive intake may cause jitters or raise blood pressure transiently.",1–3 cups per day (moderate consumption),Prebiotic (polyphenols)
Collard Greens,"Leafy greens like collards are strongly linked to brain health. A serving a day of collards/kale was associated with the cognitive function of someone 11 years younger. Rich in prebiotic fiber and nutrients (folate, vitamin K, lutein) that support the gut-brain axis and protect against cognitive decline.","Excellent for cardiovascular health: high vitamin K and potassium help blood pressure and vascular function. Fiber and antioxidants in collards lower inflammation and cholesterol. High in carotenoids (lutein, beta-carotene) supporting eye health and possibly reducing atherosclerosis. Also provides calcium for bone health.",≥6 servings of leafy greens per week,Prebiotic (fiber)
Cornmeal (whole grain),Whole-grain cornmeal (from whole corn) contains fiber and resistant starch that feed gut microbes. Supports stable energy for the brain. Diets including whole grains like whole corn are associated with better cognitive function than diets high in refined grains.,Whole cornmeal provides antioxidants like ferulic acid and lutein. Eating whole (unrefined) corn products supports metabolic health (lower risk of diabetes) and cardiovascular health by contributing to total whole-grain intake. Niacin in cornmeal (especially if nixtamalized as in masa) supports energy metabolism.,≥3 servings whole grains per day (include cornmeal),Prebiotic (fiber)
Cottage Cheese,"A fresh cheese usually made by acid or light fermentation. Contains dairy proteins that support muscle and neurotransmitter synthesis, but not significantly pre/probiotic. No direct microbiome-cognition benefit known; however, as a high-protein, low-fat food it can help regulate blood sugar (which indirectly benefits cognitive performance).","High in casein protein which promotes satiety and muscle maintenance. Provides calcium and phosphorus for bone health. Typically low-fat, making it a heart-healthier cheese option. Some varieties have live cultures, but generally the impact on gut flora is minimal compared to yogurt. Good source of B12 and selenium (antioxidant).","½ cup serving, up to 3–4 times per week (choose lower-sodium varieties)",Postbiotic (fermented dairy)
Cow Liver,"Extremely high in B vitamins (B12, folate, B6) and choline – all crucial for cognitive function and neurotransmitter production. Not a prebiotic, but provides nutrients that support brain health. Some evidence suggests that adequate B12/folate from foods like liver is linked to lower risk of cognitive decline. However, excessive liver not recommended (vitamin A toxicity).","One of the most nutrient-dense foods: very high in vitamin A, iron, zinc, and copper. Can improve anemia (iron, B12) and support immune health (vitamin A, zinc). Due to high cholesterol content, moderation is advised, but occasional consumption can fit in heart-healthy diets (recent evidence suggests dietary cholesterol has modest impact on blood levels for most people).","~3–4 oz portion, 1–2 times per month (limit due to high vit A)",N/A (nutrient-dense)
Cranberries,"Cranberries are rich in proanthocyanidins. While best known for urinary tract benefits, their polyphenols also have neuroprotective effects. In older adults, cranberry supplementation has shown improved memory and neural function, possibly by enhancing antioxidant capacity and gut microbial diversity. Tart cranberries’ compounds reach the colon and reduce neuroinflammation.","Known to prevent UTIs by limiting bacterial adhesion. High antioxidant content helps lower inflammation and perhaps improve vascular function. In a recent trial, daily cranberry improved cholesterol and arterial stiffness in healthy older adults, suggesting cardiovascular benefit. Best consumed with minimal added sugar (cranberry is very tart).",½ cup fresh or unsweetened juice a few times/week (or supplement),Prebiotic (polyphenols)
Cranberries (Dried),"Dried cranberries retain polyphenols but often have added sugar. They can still offer some gut-health benefits (antioxidants that modulate gut bacteria), but the high sugar may offset benefits. Small amounts can provide some cognitive benefit via polyphenols, but less ideal than fresh or unsweetened.","Provide fiber and antioxidants, but added sugars make them a less optimal choice for metabolic health. Still can contribute to raising HDL cholesterol as part of a healthy diet and offer anti-adhesion properties for urinary tract health. Use sparingly to avoid blood sugar spikes.",1–2 tbsp occasionally (choose reduced-sugar if possible),Prebiotic (polyphenols)
