Foods,Glycemic Index (GI),Glycemic Load per Serving,Serving Size
Tempeh,15,2,1/2 cup
Tilsit Cheese,0,0,1 ounce
Tofu (Firm),15,0.4,1/2 cup
Tomatoes,15,0.5,1 medium tomato
Trout,0,0,3 ounces cooked
Turkey,0,0,3 ounces cooked
Walnut Oil,0,0,1 tablespoon
Walnuts,15,0,1 ounce (approx. 14 halves)
Wasabi,0,0,1 teaspoon
Watermelon,72,4.5,1 slice
Wheat Germ Fortified Pasta,42,15,1 cup cooked
Whole Grain (Bread),50,14,1 slice
Whole Grain Pasta (non-wheat options),45,41,1 cup cooked
Whole Grain Seed Crackers,50,50,4-5 crackers
Whole Wheat (Bread),71,10,1 slice
Whole Wheat Pasta,42,15,1 cup cooked
Yellow Catfish,0,0,3 ounces cooked
Yogurt (Fermented),14,1,1 cup
Zucchini,15,0.5,1 cup sliced
